state_name,votes,year,party
Oregon,934631.0,2016,dem
Pennsylvania,2844705.0,2016,dem
Rhode Island,249902.0,2016,dem
South Carolina,849469.0,2016,dem
South Dakota,114938.0,2016,dem
Tennessee,867110.0,2016,dem
Texas,3867816.0,2016,dem
Utah,237241.0,2016,dem
Vermont,178179.0,2016,dem
Virginia,1916845.0,2016,dem
Washington,1523720.0,2016,dem
West Virginia,187457.0,2016,dem
Wisconsin,1382210.0,2016,dem
Wyoming,55949.0,2016,dem
Alabama,1306925.0,2016,gop
Alaska,0.0,2016,gop
Arizona,1021154.0,2016,gop
Arkansas,677904.0,2016,gop
California,3184721.0,2016,gop
Colorado,1137455.0,2016,gop
Connecticut,668266.0,2016,gop
Delaware,185103.0,2016,gop
District of Columbia,11553.0,2016,gop
Florida,4605515.0,2016,gop
Georgia,2068623.0,2016,gop
Hawaii,128815.0,2016,gop
Idaho,407199.0,2016,gop
Illinois,2118179.0,2016,gop
Indiana,1556220.0,2016,gop
Iowa,798923.0,2016,gop
Kansas,656009.0,2016,gop
Kentucky,1202942.0,2016,gop
Louisiana,1178004.0,2016,gop
Maine,334838.0,2016,gop
Maryland,873646.0,2016,gop
Massachusetts,1083069.0,2016,gop
Michigan,2279210.0,2016,gop
Minnesota,1322891.0,2016,gop
Mississippi,678457.0,2016,gop
Missouri,1585753.0,2016,gop
Montana,274120.0,2016,gop
Nebraska,485819.0,2016,gop
Nevada,511319.0,2016,gop
New Hampshire,345598.0,2016,gop
New Jersey,1535513.0,2016,gop
New Mexico,315875.0,2016,gop
New York,2640570.0,2016,gop
North Carolina,2339603.0,2016,gop
North Dakota,216133.0,2016,gop
Ohio,2771984.0,2016,gop
Oklahoma,947934.0,2016,gop
Oregon,742506.0,2016,gop
Pennsylvania,2912941.0,2016,gop
Rhode Island,179421.0,2016,gop
South Carolina,1143611.0,2016,gop
South Dakota,227460.0,2016,gop
Tennessee,1517402.0,2016,gop
Texas,4681590.0,2016,gop
Utah,397004.0,2016,gop
Vermont,95053.0,2016,gop
Virginia,1731156.0,2016,gop
Washington,1043648.0,2016,gop
West Virginia,486198.0,2016,gop
Wisconsin,1409467.0,2016,gop
Wyoming,174248.0,2016,gop
Alabama,53156.0,2016,oth
Alaska,0.0,2016,oth
Arizona,105406.0,2016,oth
Arkansas,51982.0,2016,oth
California,515968.0,2016,oth
Colorado,214521.0,2016,oth
Connecticut,70844.0,2016,oth
Delaware,20851.0,2016,oth
District of Columbia,8496.0,2016,oth
Florida,295490.0,2016,oth
Georgia,123641.0,2016,oth
Hawaii,33183.0,2016,oth
Idaho,91359.0,2016,oth
Illinois,278603.0,2016,oth
Indiana,133856.0,2016,oth
Iowa,93167.0,2016,oth
Kansas,76346.0,2016,oth
Kentucky,90442.0,2016,oth
Louisiana,70192.0,2016,oth
Maine,51839.0,2016,oth
Maryland,102946.0,2016,oth
Massachusetts,183694.0,2016,oth
Michigan,242867.0,2016,oth
Minnesota,226837.0,2016,oth
Mississippi,22529.0,2016,oth
Missouri,134456.0,2016,oth
Montana,34933.0,2016,oth
Nebraska,45961.0,2016,oth
Nevada,73918.0,2016,oth
New Hampshire,36904.0,2016,oth
New Jersey,117624.0,2016,oth
New Mexico,86528.0,2016,oth
New York,261731.0,2016,oth
North Carolina,127794.0,2016,oth
North Dakota,27309.0,2016,oth
Ohio,236410.0,2016,oth
Oklahoma,83334.0,2016,oth
Oregon,131438.0,2016,oth
Pennsylvania,212461.0,2016,oth
Rhode Island,20798.0,2016,oth
South Carolina,91364.0,2016,oth
South Dakota,24753.0,2016,oth
Tennessee,100179.0,2016,oth
Texas,353831.0,2016,oth
Utah,218216.0,2016,oth
Vermont,18181.0,2016,oth
Virginia,196786.0,2016,oth
Washington,198259.0,2016,oth
West Virginia,34571.0,2016,oth
Wisconsin,152943.0,2016,oth
Wyoming,18545.0,2016,oth
Alabama,849648.0,2020,dem
Alaska,153405.0,2020,dem
Arizona,1672143.0,2020,dem
Arkansas,423932.0,2020,dem
California,11109764.0,2020,dem
Colorado,1804352.0,2020,dem
Connecticut,1080680.0,2020,dem
Delaware,296268.0,2020,dem
District of Columbia,317323.0,2020,dem
Florida,5297045.0,2020,dem
Georgia,2473633.0,2020,dem
Hawaii,366130.0,2020,dem
Idaho,287021.0,2020,dem
Illinois,3471915.0,2020,dem
Indiana,1242495.0,2020,dem
Iowa,759061.0,2020,dem
Kansas,558669.0,2020,dem
Kentucky,772474.0,2020,dem
Louisiana,856034.0,2020,dem
Maine,430473.0,2020,dem
Maryland,1985023.0,2020,dem
Massachusetts,2382202.0,2020,dem
Michigan,2804040.0,2020,dem
Minnesota,1717077.0,2020,dem
Mississippi,539398.0,2020,dem
Missouri,1253014.0,2020,dem
Montana,244786.0,2020,dem
Nebraska,374583.0,2020,dem
Nevada,703486.0,2020,dem
New Hampshire,424921.0,2020,dem
New Jersey,2608335.0,2020,dem
New Mexico,501614.0,2020,dem
New York,5244006.0,2020,dem
North Carolina,2684292.0,2020,dem
North Dakota,114902.0,2020,dem
Ohio,2679165.0,2020,dem
Oklahoma,503890.0,2020,dem
Oregon,1340383.0,2020,dem
Pennsylvania,3459923.0,2020,dem
Rhode Island,306210.0,2020,dem
South Carolina,1091541.0,2020,dem
South Dakota,150471.0,2020,dem
Tennessee,1143711.0,2020,dem
Texas,5259126.0,2020,dem
Utah,560282.0,2020,dem
Vermont,242820.0,2020,dem
Virginia,2413568.0,2020,dem
Washington,2369612.0,2020,dem
West Virginia,235984.0,2020,dem
Wisconsin,1630673.0,2020,dem
Wyoming,73491.0,2020,dem
Alabama,1441168.0,2020,gop
Alaska,189892.0,2020,gop
Arizona,1661686.0,2020,gop
Arkansas,760647.0,2020,gop
California,6005961.0,2020,gop
Colorado,1364607.0,2020,gop
Connecticut,715291.0,2020,gop
Delaware,200603.0,2020,gop
District of Columbia,18586.0,2020,gop
Florida,5668731.0,2020,gop
